"EDA 21 .Understand the distribution of reservation statuses and calculate summary statistics for reservation
status dates.",,,,,,,
05-07-2015,Check-Out,,01-05-2017,143,,,
05-07-2015,Check-Out,,24-06-2016,143,,,
05-07-2015,Check-Out,,01-06-2017,142,,,
16-06-2015,Canceled,,29-02-2016,142,,,
18-06-2015,Canceled,,25-04-2016,142,,,
03-07-2015,Canceled,,13-10-2016,141,,,
12-06-2015,Canceled,,12-02-2017,141,,,
05-07-2015,Check-Out,,25-08-2017,141,,,
05-07-2015,Check-Out,,29-03-2017,141,,,
09-06-2015,Canceled,,23-04-2017,141,,,
06-07-2015,Check-Out,,23-07-2016,141,,,
26-05-2015,Canceled,,25-09-2015,141,,,
07-07-2015,Check-Out,,30-10-2016,140,,,
07-07-2015,Check-Out,,02-05-2016,140,,,
11-07-2015,Check-Out,,12-05-2016,140,,,
12-07-2015,Check-Out,,09-10-2016,140,,,
19-05-2015,Canceled,,06-04-2016,139,,,
13-07-2015,Check-Out,,11-10-2016,139,,,
09-06-2015,Canceled,,27-11-2016,139,,,
13-07-2015,Check-Out,,02-01-2016,138,,,
17-07-2015,Check-Out,,07-04-2016,138,,,
17-07-2015,Check-Out,,28-02-2017,138,,,
15-04-2015,Canceled,,29-10-2016,137,,,
04-07-2015,Check-Out,,22-10-2015,137,,,
04-07-2015,Check-Out,,24-07-2017,137,,,
04-07-2015,Check-Out,,28-03-2016,137,,,
04-07-2015,Check-Out,,27-06-2017,136,,,
04-07-2015,Check-Out,,29-09-2016,136,,,
04-07-2015,Check-Out,,20-02-2016,136,,,
26-05-2015,Canceled,,29-04-2016,136,,,
29-06-2015,Canceled,,05-05-2017,136,,,
13-05-2015,Canceled,,01-09-2017,136,,,
10-07-2015,Check-Out,,03-04-2016,136,,,
10-07-2015,Check-Out,,06-03-2017,136,,,
10-07-2015,Check-Out,,18-09-2015,136,,,
07-07-2015,Check-Out,,,,,,
07-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
09-06-2015,Canceled,,,,,,
20-05-2015,Canceled,,,,,,
22-04-2015,Canceled,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-05-2015,Canceled,,,,,,
12-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
05-07-2015,Check-Out,,,,,,
05-07-2015,Check-Out,,,,,,
29-05-2015,Canceled,,,,,,
04-07-2015,No-Show,,,,,,
13-05-2015,Canceled,,,,,,
16-06-2015,Canceled,,,,,,
05-07-2015,Check-Out,,,,,,
05-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
01-07-2015,Canceled,,,,,,
06-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
01-07-2015,Canceled,,,,,,
06-07-2015,Check-Out,,,,,,
07-07-2015,Check-Out,,,,,,
07-07-2015,Check-Out,,,,,,
09-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
17-06-2015,Canceled,,,,,,
01-05-2015,Canceled,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
30-03-2015,Canceled,,,,,,
12-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
06-07-2015,Check-Out,,,,,,
07-07-2015,Check-Out,,,,,,
08-07-2015,Check-Out,,,,,,
08-07-2015,Check-Out,,,,,,
09-07-2015,Check-Out,,,,,,
03-06-2015,Canceled,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
26-06-2015,Canceled,,,,,,
13-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-05-2015,Canceled,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
07-05-2015,Canceled,,,,,,
10-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
07-07-2015,Check-Out,,,,,,
07-07-2015,Check-Out,,,,,,
08-07-2015,Check-Out,,,,,,
08-07-2015,Check-Out,,,,,,
08-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
28-05-2015,Canceled,,,,,,
13-04-2015,Canceled,,,,,,
14-07-2015,Check-Out,,,,,,
25-03-2015,Canceled,,,,,,
21-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
28-05-2015,Canceled,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
29-06-2015,Canceled,,,,,,
09-07-2015,Check-Out,,,,,,
08-07-2015,Canceled,,,,,,
08-07-2015,Canceled,,,,,,
10-07-2015,Check-Out,,,,,,
28-05-2015,Canceled,,,,,,
14-07-2015,Check-Out,,,,,,
15-04-2015,Canceled,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
10-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
11-07-2015,Check-Out,,,,,,
02-06-2015,Canceled,,,,,,
16-06-2015,Canceled,,,,,,
16-06-2015,Canceled,,,,,,
12-07-2015,Check-Out,,,,,,
23-06-2015,Canceled,,,,,,
27-06-2015,Canceled,,,,,,
13-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
13-05-2015,Canceled,,,,,,
11-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
29-06-2015,Canceled,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
23-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
29-05-2015,Canceled,,,,,,
16-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
08-06-2015,Canceled,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
22-04-2015,Canceled,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
19-05-2015,Canceled,,,,,,
19-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
12-05-2015,Canceled,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
12-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
29-06-2015,Canceled,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
03-07-2015,Canceled,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-06-2015,Canceled,,,,,,
21-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
23-07-2015,Check-Out,,,,,,
23-07-2015,Check-Out,,,,,,
12-07-2015,No-Show,,,,,,
19-07-2015,Check-Out,,,,,,
13-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
14-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
22-06-2015,Canceled,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
12-07-2015,No-Show,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
13-05-2015,Canceled,,,,,,
20-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
18-06-2015,Canceled,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
24-06-2015,Canceled,,,,,,
05-03-2015,Canceled,,,,,,
18-07-2015,Check-Out,,,,,,
23-05-2015,Canceled,,,,,,
18-07-2015,Check-Out,,,,,,
22-06-2015,Canceled,,,,,,
18-07-2015,Check-Out,,,,,,
01-06-2015,Canceled,,,,,,
18-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
24-04-2015,Canceled,,,,,,
12-05-2015,Canceled,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
15-04-2015,Canceled,,,,,,
14-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
03-07-2015,Canceled,,,,,,
15-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
16-07-2015,Check-Out,,,,,,
27-05-2015,Canceled,,,,,,
18-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
06-04-2015,Canceled,,,,,,
21-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
11-04-2015,Canceled,,,,,,
11-04-2015,Canceled,,,,,,
23-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
28-07-2015,Check-Out,,,,,,
28-07-2015,Check-Out,,,,,,
29-07-2015,Check-Out,,,,,,
15-07-2015,Check-Out,,,,,,
03-07-2015,Canceled,,,,,,
27-06-2015,Canceled,,,,,,
21-07-2015,Check-Out,,,,,,
25-06-2015,Canceled,,,,,,
23-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
13-07-2015,Canceled,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
02-07-2015,Canceled,,,,,,
18-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
05-06-2015,Canceled,,,,,,
16-07-2015,Canceled,,,,,,
17-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
02-07-2015,Canceled,,,,,,
18-07-2015,Check-Out,,,,,,
18-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
13-07-2015,Canceled,,,,,,
19-06-2015,Canceled,,,,,,
30-06-2015,Canceled,,,,,,
19-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
07-07-2015,Canceled,,,,,,
21-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
13-06-2015,Canceled,,,,,,
22-07-2015,Check-Out,,,,,,
11-06-2015,Canceled,,,,,,
23-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
30-07-2015,Check-Out,,,,,,
17-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
06-07-2015,Canceled,,,,,,
13-07-2015,Canceled,,,,,,
19-07-2015,Check-Out,,,,,,
17-07-2015,No-Show,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
17-07-2015,No-Show,,,,,,
04-07-2015,Canceled,,,,,,
22-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
23-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
24-06-2015,Canceled,,,,,,
24-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
27-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
24-06-2015,Canceled,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
17-07-2015,Canceled,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
18-07-2015,Canceled,,,,,,
25-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
22-07-2015,Check-Out,,,,,,
29-04-2015,Canceled,,,,,,
04-06-2015,Canceled,,,,,,
11-06-2015,Canceled,,,,,,
23-07-2015,Check-Out,,,,,,
23-07-2015,Check-Out,,,,,,
23-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
19-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
24-06-2015,Canceled,,,,,,
25-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
01-06-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
01-08-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
23-05-2015,Canceled,,,,,,
23-07-2015,Check-Out,,,,,,
29-06-2015,Canceled,,,,,,
24-07-2015,Check-Out,,,,,,
19-06-2015,Canceled,,,,,,
17-06-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
27-05-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
17-06-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
19-06-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
29-06-2015,Canceled,,,,,,
02-07-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
14-07-2015,Canceled,,,,,,
29-07-2015,Check-Out,,,,,,
02-08-2015,Check-Out,,,,,,
25-07-2015,Check-Out,,,,,,
21-07-2015,Check-Out,,,,,,
13-05-2015,Canceled,,,,,,
20-07-2015,Check-Out,,,,,,
20-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
15-06-2015,Canceled,,,,,,
24-07-2015,Check-Out,,,,,,
15-06-2015,Canceled,,,,,,
17-06-2015,Canceled,,,,,,
25-07-2015,Check-Out,,,,,,
08-06-2015,Canceled,,,,,,
22-06-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
22-06-2015,Canceled,,,,,,
27-07-2015,Check-Out,,,,,,
20-07-2015,Canceled,,,,,,
27-07-2015,Check-Out,,,,,,
27-07-2015,Check-Out,,,,,,
27-07-2015,Check-Out,,,,,,
27-07-2015,Check-Out,,,,,,
11-05-2015,Canceled,,,,,,
23-04-2015,Canceled,,,,,,
27-07-2015,Check-Out,,,,,,
02-06-2015,Canceled,,,,,,
01-06-2015,Canceled,,,,,,
30-07-2015,Check-Out,,,,,,
30-07-2015,Check-Out,,,,,,
30-07-2015,Check-Out,,,,,,
14-07-2015,Canceled,,,,,,
14-07-2015,Canceled,,,,,,
08-07-2015,Canceled,,,,,,
23-07-2015,Check-Out,,,,,,
01-06-2015,Canceled,,,,,,
19-06-2015,Canceled,,,,,,
25-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
27-07-2015,Check-Out,,,,,,
28-07-2015,Check-Out,,,,,,
28-07-2015,Check-Out,,,,,,
29-07-2015,Check-Out,,,,,,
30-07-2015,Check-Out,,,,,,
31-07-2015,Check-Out,,,,,,
23-07-2015,Check-Out,,,,,,
22-04-2015,Canceled,,,,,,
09-06-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
09-06-2015,Canceled,,,,,,
09-06-2015,Canceled,,,,,,
29-06-2015,Canceled,,,,,,
23-07-2015,Check-Out,,,,,,
23-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
24-07-2015,Check-Out,,,,,,
05-06-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
07-07-2015,Canceled,,,,,,
19-06-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
06-07-2015,Canceled,,,,,,
07-07-2015,Canceled,,,,,,
28-07-2015,Check-Out,,,,,,
04-07-2015,Canceled,,,,,,
06-07-2015,Canceled,,,,,,
31-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
22-07-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
14-07-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
06-07-2015,Canceled,,,,,,
01-07-2015,Canceled,,,,,,
27-07-2015,Check-Out,,,,,,
06-07-2015,Canceled,,,,,,
26-07-2015,Check-Out,,,,,,
17-06-2015,Canceled,,,,,,
18-06-2015,Canceled,,,,,,
28-07-2015,Check-Out,,,,,,
08-06-2015,Canceled,,,,,,
28-07-2015,Check-Out,,,,,,
29-07-2015,Check-Out,,,,,,
29-07-2015,Check-Out,,,,,,
31-07-2015,Check-Out,,,,,,
14-07-2015,Canceled,,,,,,
22-04-2015,Canceled,,,,,,
25-05-2015,Canceled,,,,,,
01-08-2015,Check-Out,,,,,,
02-08-2015,Check-Out,,,,,,
03-08-2015,Check-Out,,,,,,
26-06-2015,Canceled,,,,,,
21-07-2015,Canceled,,,,,,
25-07-2015,Check-Out,,,,,,
28-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
26-07-2015,Check-Out,,,,,,
11-07-2015,Canceled,,,,,,
27-07-2015,Check-Out,,,,,,
14-07-2015,Canceled,,,,,,
10-07-2015,Canceled,,,,,,
23-07-2015,Canceled,,,,,,
27-07-2015,Check-Out,,,,,,
28-07-2015,Check-Out,,,,,,
29-07-2015,Check-Out,,,,,,
30-07-2015,Check-Out,,,,,,
30-07-2015,Check-Out,,,,,,
30-07-2015,Check-Out,,,,,,
26-06-2015,Canceled,,,,,,
30-07-2015,Check-Out,,,,,,
30-07-2015,Check-Out,,,,,,
31-07-2015,Check-Out,,,,,,
02-06-2015,Canceled,,,,,,
01-08-2015,Check-Out,,,,,,
01-08-2015,Check-Out,,,,,,
27-06-2015,Canceled,,,,,,
12-05-2015,Canceled,,,,,,
17-04-2015,Canceled,,,,,,
01-08-2015,Check-Out,,,,,,
01-08-2015,Check-Out,,,,,,
01-08-2015,Check-Out,,,,,,
03-07-2015,Canceled,,,,,,
02-08-2015,Check-Out,,,,,,
02-08-2015,Check-Out,,,,,,
29-06-2015,Canceled,,,,,,
15-04-2015,Canceled,,,,,,
29-06-2015,Canceled,,,,,,
